Sample #	Day	Month	Year	Place	ETRS-TM 35FIN		Cause of Death	Hunter's evaluation		Sex	Age	Sender	Notes	Tissue -80 deg	Extracted DNA -20 deg	Purified DNA	MtDNA	Results checked	Nuclear DNA					NGS/Vienna	SNP chip/Sweden
					N	E		Species	Code 1-5								Cytb		Tshd	Tg	Mgf	Sptbn1	Prck1		
2	22	12	2012	Outokumpu	6957923	601670	hunted	LE	4				pale	1	1		LE	1							
3	2	2	2013	Liperi	6943826	621715	hunted	LE	5			J. Asikainen		1	1		LE	1							
4	2	2	2013	Liperi	6943826	621715	hunted	LE	5			J. Asikainen		1	1		LE	1							
5	6	2	2013	Hollola, Manskivi	6775385	411330	hunted	LE	5			Markus Pekkinen		1	1		LE	1							
6	27	2	2013	Sotkamo, Kuolaniemi	7110264	565055	hunted	LE	5			Henkka		1	1		LT	1							1
7	2	2	2013	Rantasalmi, Putkisalon saari	6876879	575339	hunted	LE	4			M. Kunnasranta		1	1		LE	1							
8	9	2	2013	Rantasalmi, Putkisalon saari	6876879	575339	hunted	LE	3			M. Kunnasranta		1	1		LE	1							
9	2	2	2013	Rantasalmi, Putkisalon saari	6876879	575339	hunted	LE	3			M. Kunnasranta		1	1		LE	1							
10	10	2	2013	Iisalmi	7047963	509228	hunted	LE	5			Timo Varis		1	1		LT	1							
11	26	2	2013	Rautalampi, Vaajasalmi	6953665	493610	hunted	LE	5			Kari Nenonen		1	1		LE	1							
12	23	2	2013	Urjala, Menonen Lintulantie (31140)	6769516	310939	hunted	LE	5			Niko Saha		1	1		LE	1							1
13	22	2	2013	Mjösund, Tolfsnäsintie (Kemiönsaari)	6779277	249713	hunted	LE	5			Kaj Eriksson		1	1		LE	1							
14	22	2	2013	Mjösund, Tolfsnäsintie (Kemiönsaari)	6779277	249713	hunted	LE	5			Kaj Eriksson		1	1		LE	1							
15	25	2	2013	Saarijärvi, Konttimäki	6942343	400829	hunted	LE	3			Seppo Mäntymaa		1	1		LE	1							
16	9	3	2013	Saarijärvi, Mahlu	6947292	399237	hit by car	LE	4			Seppo Mäntymaa		1	1		LE	1							
17	23	2	2013	Saarijärvi, Konttimäki	6942343	400829	hunted	LE	5			Seppo Mäntymaa		1	1		LE	1							
18	21	2	2013	Saarijärvi, Konttimäki	6942343	400829	hunted	LE	5			Seppo Mäntymaa		1	1		LE	1							
19	9	1	2013	Saarijärvi, Konttimäki	6942343	400829	hunted	LE	5			Seppo Mäntymaa		1	1		LE	1							
20	19	2	2013	Pylkönmäki, Paajala	6953376	380610	hunted	LT	1			Seppo Mäntymaa		1	1		LT	1							
21	10	3	2013	Liperi, Kirkonkylä	6943826	621715		LE	5			Henkka		1	1		LE	1							
22	1	3	2013	Liperi, Ylämylly	6945613	631446		LE	5			Henkka		1	1		LE	1							
23			2013	Oulu, Kiiminki	7223468	442425	hunted	LT	1			H. Gröhn		1	1		LT	1							
24			2013	Oulu, Kiiminki	7223468	442425	hunted	LT	1			H. Gröhn		1	1		X	1							
25			2013	Oulu, Kiiminki	7223468	442425	hunted	LT	1			H. Gröhn		1	1		LT	1							
