tube_or_well_id,biosample_accession,run_accession,flowcell_lane_index,rg_id,rg_sm,rg_lb,rg_pl,rg_pu,read1_filename,read2_filename
TRIDUBI-P01_S01,SAMEA120250350,ERR15812245,EKDN250010421-1A_22TTYMLT4_L2,P1S1.EKDN250010421-1A.22TTYMLT4.L2,P1S1,P1S1_lib1,MGI,EKDN250010421-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812245_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812245_2.fastq.gz
TRIDUBI-P01_S03,SAMEA120250349,ERR15812246,EKDN250010422-1A_22TTWGLT4_L1,P1S3.EKDN250010422-1A.22TTWGLT4.L1,P1S3,P1S3_lib1,MGI,EKDN250010422-1A.22TTWGLT4.L1,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812246_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812246_2.fastq.gz
TRIDUBI-P01_S03,SAMEA120250349,ERR15812247,EKDN250010422-1A_22TTYMLT4_L2,P1S3.EKDN250010422-1A.22TTYMLT4.L2,P1S3,P1S3_lib1,MGI,EKDN250010422-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812247_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812247_2.fastq.gz
TRIDUBI-P02_S02,SAMEA120250348,ERR15812248,EKDN250010423-1A_22TTYMLT4_L2,P2S2.EKDN250010423-1A.22TTYMLT4.L2,P2S2,P2S2_lib1,MGI,EKDN250010423-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812248_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812248_2.fastq.gz
TRIDUBI-P02_S03,SAMEA120250347,ERR15812249,EKDN250010424-1A_22TTYMLT4_L2,P2S3.EKDN250010424-1A.22TTYMLT4.L2,P2S3,P2S3_lib1,MGI,EKDN250010424-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812249_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812249_2.fastq.gz
TRIDUBI-P02_S04,SAMEA120250346,ERR15812250,EKDN250010425-1A_22TTYMLT4_L2,P2S4.EKDN250010425-1A.22TTYMLT4.L2,P2S4,P2S4_lib1,MGI,EKDN250010425-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812250_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812250_2.fastq.gz
TRIDUBI-P02_S05,SAMEA120250345,ERR15812251,EKDN250010426-1A_22TTW2LT4_L8,P2S5.EKDN250010426-1A.22TTW2LT4.L8,P2S5,P2S5_lib1,MGI,EKDN250010426-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812251_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812251_2.fastq.gz
TRIDUBI-P02_S06,SAMEA120250344,ERR15812252,EKDN250010427-1A_22TTW2LT4_L8,P2S6.EKDN250010427-1A.22TTW2LT4.L8,P2S6,P2S6_lib1,MGI,EKDN250010427-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812252_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812252_2.fastq.gz
TRIDUBI-P02_S07,SAMEA120250343,ERR15812253,EKDN250010428-1A_22TTW2LT4_L5,P2S7.EKDN250010428-1A.22TTW2LT4.L5,P2S7,P2S7_lib1,MGI,EKDN250010428-1A.22TTW2LT4.L5,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812253_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812253_2.fastq.gz
TRIDUBI-P02_S08,SAMEA120250342,ERR15812254,EKDN250010429-1A_22TTYMLT4_L2,P2S8.EKDN250010429-1A.22TTYMLT4.L2,P2S8,P2S8_lib1,MGI,EKDN250010429-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812254_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812254_2.fastq.gz
